EstablishmentDetail - FHRSID,EstablishmentDetail - RatingKey,EstablishmentDetail - SchemeType,EstablishmentDetail - RatingValue,BusinessName,EstablishmentDetail - BusinessType,EstablishmentDetail - BusinessTypeID,EstablishmentDetail - NewRatingPending,EstablishmentDetail - LocalAuthorityCode,EstablishmentDetail - LocalAuthorityName,EstablishmentDetail - LocalAuthorityWebSite,EstablishmentDetail - LocalAuthorityBusinessID,EstablishmentDetail - LocalAuthorityEmailAddress,EstablishmentDetail - RatingDate,EstablishmentDetail - RatingDate - xsi:nil,EstablishmentDetail - AddressLine1,EstablishmentDetail - AddressLine2,EstablishmentDetail - AddressLine3,EstablishmentDetail - PostCode,EstablishmentDetail - Geocode - Latitude,EstablishmentDetail - Geocode - Longitude,EstablishmentDetail - Scores - Hygiene,EstablishmentDetail - Scores - Structural,EstablishmentDetail - Scores - ConfidenceInManagement,EstablishmentDetail - AddressLine4
526785,fhrs_exempt_en-GB,FHRS,Exempt,Adnams Cellar & Kitchen,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100519,foodsafety@baberghmidsuffolk.gov.uk,2010-11-12,,73-75 High Street,Hadleigh,IPSWICH,IP7 5DY,52.04413500000000,0.95335600000000,,,,Suffolk
526788,fhrs_5_en-GB,FHRS,5,AFC Cornard Dynamos Youth Football,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100554,foodsafety@baberghmidsuffolk.gov.uk,2018-03-26,,Recreation Ground,Blackhouse Lane,Great Cornard,CO10 0NL,52.02027700000000,0.75441000000000,0,5,0,SUDBURY
526373,fhrs_5_en-GB,FHRS,5,AFC Sudbury,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016509,foodsafety@baberghmidsuffolk.gov.uk,2018-02-05,,Kings Marsh Stadium,Brundon Lane,SUDBURY,CO10 1XR,52.04613113403320,0.71848702430725,0,0,0,Suffolk
957619,fhrs_5_en-GB,FHRS,5,Afternoon Tea At.,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000003485,foodsafety@baberghmidsuffolk.gov.uk,2017-03-31,,Rose Cottage,The Street,Brantham,CO11 1PN,51.96826500000000,1.08824600000000,0,0,0,MANNINGTREE
526802,fhrs_exempt_en-GB,FHRS,Exempt,Agape Cafe @The Old School,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100718,foodsafety@baberghmidsuffolk.gov.uk,2014-03-26,,Community Education Centre,Wells Hall Road,Great Cornard,CO10 0NH,52.02570800000000,0.75523900000000,,,,SUDBURY
526855,fhrs_5_en-GB,FHRS,5,Age UK Suffolk,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000106776,foodsafety@baberghmidsuffolk.gov.uk,2013-03-26,,Unit 2,Martins Road,Chilton Industrial Estate,CO10 2FT,52.04484100000000,0.75157400000000,0,0,5,SUDBURY
911046,fhrs_5_en-GB,FHRS,5,Aldi Foodstore,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000174005,foodsafety@baberghmidsuffolk.gov.uk,2016-09-07,,Aldi Store Ltd,2 Donald Mackintosh Way,Pinewood,IP8 3LQ,,,5,5,5,IPSWICH
526264,fhrs_5_en-GB,FHRS,5,Aldi Foodstore Ltd,Retailers - supermarkets/hypermarkets,7840,False,297,Babergh,http://www.babergh.gov.uk/,PI/000011690,foodsafety@baberghmidsuffolk.gov.uk,2017-04-18,,Girling Street,SUDBURY,Suffolk,CO10 1NB,52.04225900000000,0.72920400000000,5,0,0,
719092,fhrs_5_en-GB,FHRS,5,Alex's Artisan Bakery,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000035867,foodsafety@baberghmidsuffolk.gov.uk,2016-10-13,,,,,,,,5,5,5,
526171,fhrs_4_en-GB,FHRS,4,Alfresco Cuisine,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000004138,foodsafety@baberghmidsuffolk.gov.uk,2010-07-12,,,,,,,,5,5,10,
1042419,fhrs_5_en-GB,FHRS,5,All Caterers@Newton Green Golf Club,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000178696,foodsafety@baberghmidsuffolk.gov.uk,2018-03-26,,Newton Green Golf Course & Clubhouse,The Green,Newton,CO10 0QN,52.03136444091800,0.78890299797058,5,5,5,SUDBURY
526532,fhrs_5_en-GB,FHRS,5,All Saints CEVC Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000034803,foodsafety@baberghmidsuffolk.gov.uk,2016-09-26,,Primary School,The Street,Lawshall,IP29 4QA,52.15508400000000,0.72614600000000,0,0,0,BURY ST EDMUNDS
526895,fhrs_exempt_en-GB,FHRS,Exempt,Alpheton Hall Barns,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000108870,foodsafety@baberghmidsuffolk.gov.uk,2012-07-10,,Barns at Alpheton Hall,Church Lane,Alpheton,CO10 9BL,52.12235800000000,0.74477700000000,,,,SUDBURY
526316,fhrs_exempt_en-GB,FHRS,Exempt,Alpheton Jubilee Hall,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000015975,foodsafety@baberghmidsuffolk.gov.uk,2010-09-15,,Old Bury Road,Alpheton,SUDBURY,CO10 9BT,52.12916700000000,0.75589200000000,,,,Suffolk
903887,fhrs_5_en-GB,FHRS,5,Anchor Trust,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000174140,foodsafety@baberghmidsuffolk.gov.uk,2018-01-10,,Canterbury House,Gallows Hill,Hadleigh,IP7 6JQ,52.05195200000000,0.94430100000000,,,,IPSWICH
916980,fhrs_5_en-GB,FHRS,5,Anchor Trust St Josephs,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000174773,foodsafety@baberghmidsuffolk.gov.uk,2016-10-10,,St Josephs Home,The Croft,SUDBURY,CO10 1HR,52.04179900000000,0.72576300000000,5,0,5,Suffolk
915350,fhrs_5_en-GB,FHRS,5,Anchor Trust St Marys Care Home,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000174772,foodsafety@baberghmidsuffolk.gov.uk,2017-07-27,,St Marys,Woodlands Road,Holbrook,IP9 2PS,51.99208800000000,1.15176000000000,5,5,5,IPSWICH
526694,fhrs_5_en-GB,FHRS,5,Andrew's Quality Butchers,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000052050,foodsafety@baberghmidsuffolk.gov.uk,2016-12-06,,74 High Street,Hadleigh,IPSWICH,IP7 5EF,52.04444300000000,0.95362400000000,0,0,0,Suffolk
997852,fhrs_5_en-GB,FHRS,5,Angel Delights Outside Catering,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000003264,foodsafety@baberghmidsuffolk.gov.uk,2017-08-22,,,,,,,,0,0,0,
526370,fhrs_5_en-GB,FHRS,5,Anglia Indoor Kart Racing,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016483,foodsafety@baberghmidsuffolk.gov.uk,2018-02-28,,Unit 12,East Area,Farthing Road,IP1 5AP,52.06629100000000,1.11174700000000,5,5,5,"Farthing Road Ind. Est., Sproughton"
526441,fhrs_5_en-GB,FHRS,5,Anglia Sunshine Nurseries,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000021485,foodsafety@baberghmidsuffolk.gov.uk,2016-10-12,,Unit 8 - 1st Floor,Warner Industrial Park,Warner Way,CO10 2GG,52.04073500000000,0.74369500000000,0,5,0,SUDBURY
948022,fhrs_5_en-GB,FHRS,5,Ann White Wedding Cakes,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000166483,foodsafety@baberghmidsuffolk.gov.uk,2017-02-06,,Walnut Lodge,Haymarket,Little Waldingfield,CO10 0SY,52.07487200000000,0.80819400000000,0,0,0,SUDBURY
909597,fhrs_5_en-GB,FHRS,5,Anne's Cakes For All Occasions,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000021886,foodsafety@baberghmidsuffolk.gov.uk,2016-08-18,,,,,,,,0,0,0,
951882,fhrs_5_en-GB,FHRS,5,Arabella Reeve Catering,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000017181,foodsafety@baberghmidsuffolk.gov.uk,2017-03-14,,Lingley,The Street,Burstall,IP8 3DN,52.05860200000000,1.06299100000000,0,0,0,IPSWICH
963038,fhrs_exempt_en-GB,FHRS,Exempt,Argos Ltd,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000175928,foodsafety@baberghmidsuffolk.gov.uk,2017-04-26,,Armes Trading Estate,66 Cornard Road,SUDBURY,CO10 2XB,52.03591000000000,0.73884900000000,,,,Suffolk
1025779,fhrs_4_en-GB,FHRS,4,Ark Bar Restaurant,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000173767,foodsafety@baberghmidsuffolk.gov.uk,2018-01-15,,Ark Bar And Restaurant,Cattawade Street,Brantham,CO11 1RH,51.95869827270510,1.05783200263977,0,10,10,MANNINGTREE
874835,fhrs_5_en-GB,FHRS,5,Arthurs Only Food and Sauces,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000003936,foodsafety@baberghmidsuffolk.gov.uk,2016-07-20,,Tomcat Farm,Old London Road,Copdock And Washbrook,IP8 3JF,52.01984000000000,1.07225100000000,0,0,5,IPSWICH
657060,fhrs_5_en-GB,FHRS,5,Assington Country Kitchen,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168353,foodsafety@baberghmidsuffolk.gov.uk,2017-04-21,,The Barn at Assington,The Street,Assington,CO10 5LW,52.00305800000000,0.81552700000000,0,5,0,SUDBURY
526956,fhrs_5_en-GB,FHRS,5,Assington Farm Shop,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000110737,foodsafety@baberghmidsuffolk.gov.uk,2017-08-30,,The Barn at Assington,The Street,Assington,CO10 5LW,52.00305800000000,0.81552700000000,0,0,5,SUDBURY
526864,fhrs_5_en-GB,FHRS,5,Assington Mill Art & Craft Courses,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000106916,foodsafety@baberghmidsuffolk.gov.uk,2012-09-04,,Mill Farm,Bures Road,Assington,CO10 5LZ,51.99650300000000,0.81773800000000,5,5,5,SUDBURY
526317,fhrs_exempt_en-GB,FHRS,Exempt,Assington Village Hall,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000015978,foodsafety@baberghmidsuffolk.gov.uk,2012-06-18,,The Street,Assington,SUDBURY,CO10 5LW,52.00305800000000,0.81552700000000,,,,Suffolk
526913,fhrs_3_en-GB,FHRS,3,Aysha,Takeaway/sandwich shop,7844,False,297,Babergh,http://www.babergh.gov.uk/,PI/000110230,foodsafety@baberghmidsuffolk.gov.uk,2017-02-01,,50A-51A North Street,SUDBURY,Suffolk,CO10 1RE,52.04139400000000,0.72967700000000,10,10,10,
586677,fhrs_5_en-GB,FHRS,5,B & M Stores,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000168034,foodsafety@baberghmidsuffolk.gov.uk,2013-08-06,,Unit B,Copdock Interchange,Pinewood,IP8 3TT,52.04116000000000,1.09989300000000,0,0,0,IPSWICH
526786,fhrs_5_en-GB,FHRS,5,B Dowse,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100543,foodsafety@baberghmidsuffolk.gov.uk,2017-01-25,,Cordell Works,Cordell Road,Long Melford,CO10 9EH,52.07860200000000,0.72016800000000,5,0,0,SUDBURY
526499,fhrs_4_en-GB,FHRS,4,B S Clarke And Son,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000026030,foodsafety@baberghmidsuffolk.gov.uk,2012-11-05,,The Limes,The Green,Hartest,IP29 4DH,52.14044100000000,0.67921200000000,10,0,10,BURY ST EDMUNDS
526665,fhrs_5_en-GB,FHRS,5,Bakers Delight,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000049981,foodsafety@baberghmidsuffolk.gov.uk,2017-01-30,,44 The Street,Capel St Mary,IPSWICH,IP9 2EP,52.00384100000000,1.04977700000000,5,5,5,Suffolk
937886,fhrs_5_en-GB,FHRS,5,Bakes & Blossoms,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000175313,foodsafety@baberghmidsuffolk.gov.uk,2016-12-13,,1 Acacia Court,Blenheim Close,Brantham,CO11 1TR,51.96524800000000,1.06536900000000,5,5,5,MANNINGTREE
526253,fhrs_5_en-GB,FHRS,5,Ballingdon Valley Indian Cuisine,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000011224,foodsafety@baberghmidsuffolk.gov.uk,2017-02-23,,57 Ballingdon Street,SUDBURY,Suffolk,CO10 2DA,52.03425300000000,0.71722600000000,5,5,5,
1034898,fhrs_5_en-GB,FHRS,5,Bank House Stores,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000178326,foodsafety@baberghmidsuffolk.gov.uk,2018-02-16,,Bildeston Village Stores And Post Office,118-122 High Street,Bildeston,IP7 7EB,52.10728454589840,0.90900897979736,0,5,5,IPSWICH
526473,fhrs_4_en-GB,FHRS,4,Barrett Lee,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000024278,foodsafety@baberghmidsuffolk.gov.uk,2012-11-22,,Unit 4,Byford Road,Chilton Industrial Estate,CO10 2YG,52.04609600000000,0.74479600000000,0,0,10,SUDBURY
526376,fhrs_5_en-GB,FHRS,5,Beaumont Community Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000016710,foodsafety@baberghmidsuffolk.gov.uk,2016-05-03,,Beaumont Primary School,Durrant Road,Hadleigh,IP7 6GD,52.05190300000000,0.95669800000000,0,5,5,IPSWICH
526624,fhrs_4_en-GB,FHRS,4,Beech Lawn Residential Home,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000044573,foodsafety@baberghmidsuffolk.gov.uk,2017-10-03,,Elton Park,Sproughton,IPSWICH,IP2 0DG,52.05848300000000,1.11858700000000,5,5,10,Suffolk
1007001,fhrs_5_en-GB,FHRS,5,Belle Bakes,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000010093,foodsafety@baberghmidsuffolk.gov.uk,2017-10-04,,,,,,,,0,0,5,
574450,fhrs_5_en-GB,FHRS,5,Benny's Boom Boom BBQ,Mobile caterer,7846,False,297,Babergh,http://www.babergh.gov.uk/,PI/000101079,foodsafety@baberghmidsuffolk.gov.uk,2012-05-04,,,,,,,,0,0,5,
526134,fhrs_5_en-GB,FHRS,5,Bentley CEVC Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000001285,foodsafety@baberghmidsuffolk.gov.uk,2018-03-21,,Bentley Primary School,Church Road,Bentley,IP9 2BT,51.99303300000000,1.07973900000000,5,0,5,IPSWICH
526767,fhrs_4_en-GB,FHRS,4,Bentley Service Station,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100088,foodsafety@baberghmidsuffolk.gov.uk,2016-06-29,,Services Area A12 Southbound,London Road,Bentley,IP9 2JT,51.99658700000000,1.04265400000000,0,10,5,IPSWICH
903882,fhrs_5_en-GB,FHRS,5,Bentley Stores,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000173178,foodsafety@baberghmidsuffolk.gov.uk,2016-07-27,,Land next to The Case is Altered,Capel Road,Bentley,IP9 2DW,51.99016800000000,1.07026200000000,0,0,5,IPSWICH
972173,fhrs_5_en-GB,FHRS,5,Bentleys Caterers,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000009971,foodsafety@baberghmidsuffolk.gov.uk,2017-05-11,,,,,,,,0,0,0,
771842,fhrs_5_en-GB,FHRS,5,Beside The Shore,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000055152,foodsafety@baberghmidsuffolk.gov.uk,2015-06-25,,,,,,,,5,5,5,
1042422,fhrs_exempt_en-GB,FHRS,Exempt,Bildeston Baptist Church,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000178837,foodsafety@baberghmidsuffolk.gov.uk,2017-05-19,,Duke Street,Bildeston,IPSWICH,IP7 7EW,52.10764100000000,0.90697300000000,,,,Suffolk
771846,fhrs_5_en-GB,FHRS,5,Bildeston County Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000171146,foodsafety@baberghmidsuffolk.gov.uk,2017-06-01,,Newberry Road,Bildeston,IPSWICH,IP7 7EU,52.10520300000000,0.90805500000000,0,5,0,Suffolk
526585,fhrs_exempt_en-GB,FHRS,Exempt,Bildeston Honey,Farmers/growers,7838,False,297,Babergh,http://www.babergh.gov.uk/,PI/000038923,foodsafety@baberghmidsuffolk.gov.uk,2012-08-06,,,,,,,,,,,
527009,fhrs_4_en-GB,FHRS,4,Birch Farm Complex,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000111460,foodsafety@baberghmidsuffolk.gov.uk,2017-01-25,,Birch Farm,Silver Hill,Hintlesham,IP8 3NJ,52.05054000000000,1.05173300000000,0,10,5,IPSWICH
526426,fhrs_5_en-GB,FHRS,5,Bizzi Beans,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000020148,foodsafety@baberghmidsuffolk.gov.uk,2015-10-28,,,,,,,,0,5,0,
1012567,fhrs_5_en-GB,FHRS,5,Black Boy,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000177501,foodsafety@baberghmidsuffolk.gov.uk,2017-11-15,,Black Boy Hotel,7 Market Hill,SUDBURY,CO10 2EA,52.03868484497070,0.73022598028183,0,5,5,Suffolk
526903,fhrs_5_en-GB,FHRS,5,Black Horse,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000109904,foodsafety@baberghmidsuffolk.gov.uk,2016-02-18,,Lower Street,Stratford St Mary,COLCHESTER,CO7 6JS,51.96621100000000,0.97209100000000,0,5,5,Essex
526881,fhrs_4_en-GB,FHRS,4,Black Lion,Pub/bar/nightclub,7843,False,297,Babergh,http://www.babergh.gov.uk/,PI/000107212,foodsafety@baberghmidsuffolk.gov.uk,2016-10-07,,Lion Road,Glemsford,SUDBURY,CO10 7RF,52.10281500000000,0.66689300000000,0,5,10,Suffolk
1016426,fhrs_5_en-GB,FHRS,5,Black Lion Hotel,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000177296,foodsafety@baberghmidsuffolk.gov.uk,2017-11-14,,Church Walk,Long Melford,SUDBURY,CO10 9DN,52.08629700000000,0.72069500000000,0,5,0,Suffolk
999450,fhrs_5_en-GB,FHRS,5,Bluebell Tea Rooms,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000176357,foodsafety@baberghmidsuffolk.gov.uk,2017-08-29,,Bypass Nurseries,London Road,Capel St Mary,IP9 2JR,52.00172424316410,1.05541801452637,0,0,5,IPSWICH
713394,fhrs_4_en-GB,FHRS,4,Bob's Stores Costcutter,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000169850,foodsafety@baberghmidsuffolk.gov.uk,2017-01-20,,4 High Street,Acton,SUDBURY,CO10 0AL,52.06998400000000,0.76279500000000,5,0,10,Suffolk
526897,fhrs_exempt_en-GB,FHRS,Exempt,Boots UK Ltd,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000109213,foodsafety@baberghmidsuffolk.gov.uk,2013-02-13,,12 Market Hill,SUDBURY,Suffolk,CO10 2EA,52.03868300000000,0.73022600000000,,,,
526943,fhrs_exempt_en-GB,FHRS,Exempt,Boots UK Ltd,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000110550,foodsafety@baberghmidsuffolk.gov.uk,2012-03-08,,Unit 5,Applegate Centre,Applegate Mews,CO10 0GL,52.05750500000000,0.76151400000000,,,,Great Cornard
526208,fhrs_5_en-GB,FHRS,5,Boss Hoggs Cafe,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000006222,foodsafety@baberghmidsuffolk.gov.uk,2016-05-06,,Boss Hoggs Truck Stop,Old London Road,Copdock And Washbrook,IP8 3JW,52.01958400000000,1.07312200000000,5,5,5,IPSWICH
526417,fhrs_exempt_en-GB,FHRS,Exempt,Bowls Club,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000019446,foodsafety@baberghmidsuffolk.gov.uk,2012-08-06,,The Bowling Green,The Street,Holbrook,IP9 2PZ,51.98535900000000,1.15653100000000,,,,IPSWICH
526873,fhrs_exempt_en-GB,FHRS,Exempt,Box Tree Game Supplier Ltd,Manufacturers/packers,7839,False,297,Babergh,http://www.babergh.gov.uk/,PI/000107187,foodsafety@baberghmidsuffolk.gov.uk,2012-02-22,,,,,,,,,,,
526541,fhrs_5_en-GB,FHRS,5,Boxford CEVC Primary School,School/college/university,7845,False,297,Babergh,http://www.babergh.gov.uk/,PI/000035992,foodsafety@baberghmidsuffolk.gov.uk,2017-12-01,,Boxford Primary School,Stone Street Road,Boxford,CO10 5NP,52.02676200000000,0.86037500000000,0,5,0,SUDBURY
931148,fhrs_4_en-GB,FHRS,4,Boxford Stores,Retailers - other,4613,False,297,Babergh,http://www.babergh.gov.uk/,PI/000175314,foodsafety@baberghmidsuffolk.gov.uk,2016-11-24,,Boxford Stores and Post Office,1 Swan Street,Boxford,CO10 5PA,52.02853300000000,0.85891300000000,10,0,10,SUDBURY
526325,fhrs_exempt_en-GB,FHRS,Exempt,Boxted And Hartest Institute,Other catering premises,7841,False,297,Babergh,http://www.babergh.gov.uk/,PI/000015993,foodsafety@baberghmidsuffolk.gov.uk,2010-01-28,,The Green,Hartest,BURY ST EDMUNDS,IP29 4DH,52.14044100000000,0.67921200000000,,,,Suffolk
526172,fhrs_5_en-GB,FHRS,5,Brantham Leisure Centre,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000004185,foodsafety@baberghmidsuffolk.gov.uk,2015-07-15,,Brantham Athletic Sports and Social Club,New Village,Brantham,,,,5,0,5,MANNINGTREE
526418,fhrs_4_en-GB,FHRS,4,Brett Farm B & B,Hotel/bed & breakfast/guest house,7842,False,297,Babergh,http://www.babergh.gov.uk/,PI/000019470,foodsafety@baberghmidsuffolk.gov.uk,2011-01-16,,Brett Farm,Clay Hill Lane,Lavenham,CO10 9PG,52.10699200000000,0.80689800000000,5,5,10,SUDBURY
612333,fhrs_5_en-GB,FHRS,5,Brett Vale Golf Club,Restaurant/Cafe/Canteen,1,False,297,Babergh,http://www.babergh.gov.uk/,PI/000100495,foodsafety@baberghmidsuffolk.gov.uk,2018-01-25,,Brett Vale House,Noaks Road,Raydon,IP7 5LR,52.00508499145510,0.98588800430298,5,5,0,IPSWICH
526686,fhrs_5_en-GB,FHRS,5,Brett Vale Residential Home,Hospitals/Childcare/Caring Premises,5,False,297,Babergh,http://www.babergh.gov.uk/,PI/000051422,foodsafety@baberghmidsuffolk.gov.uk,2010-06-10,,Sulleys Hill,Raydon,IPSWICH,IP7 5QQ,52.00190500000000,0.96859800000000,5,0,5,Suffolk
